index,school,type,area,class,nation_hold,lng,lat
1,北京大学,教育部,北京市,本科,,116.3509987,39.75713112
2,中国人民大学,教育部,北京市,本科,,116.3071298,39.96931615
3,清华大学,教育部,北京市,本科,,116.3195457,40.00046271
4,北京交通大学,教育部,北京市,本科,,116.3411598,39.94591293
5,北京工业大学,北京市,北京市,本科,,116.4755159,39.87411856
6,北京航空航天大学,工业和信息化部,北京市,本科,,116.340297,39.97785046
7,北京理工大学,工业和信息化部,北京市,本科,,116.0790155,39.72060407
8,北京科技大学,教育部,北京市,本科,,116.5880785,39.9189566
9,北方工业大学,北京市,北京市,本科,,116.2021855,39.92678351
10,北京化工大学,教育部,北京市,本科,,116.4149758,39.97040931
11,北京工商大学,北京市,北京市,本科,,116.1612504,39.71843507
12,北京服装学院,北京市,北京市,本科,,116.3669255,39.98006951
13,北京邮电大学,教育部,北京市,本科,,116.3519428,39.95822128
14,北京印刷学院,北京市,北京市,本科,,116.3070467,39.75811683
15,北京建筑大学,北京市,北京市,本科,,116.2804555,39.74712544
16,北京石油化工学院,北京市,北京市,本科,,116.307055,39.75593885
17,北京电子科技学院,中央办公厅,北京市,本科,,116.2736845,39.83634905
18,中国农业大学,教育部,北京市,本科,,116.3513579,40.00302204
19,北京农学院,北京市,北京市,本科,,116.3044494,40.09366053
20,北京林业大学,教育部,北京市,本科,,116.0988056,40.06349088
21,北京协和医学院,国家卫生和计划生育委员会,北京市,本科,,116.4085945,39.90969056
22,首都医科大学,北京市,北京市,本科,,116.3177418,39.84214559
23,北京中医药大学,教育部,北京市,本科,,116.4217466,39.96985538
24,北京师范大学,教育部,北京市,本科,,116.3593933,39.96004469
25,首都师范大学,北京市,北京市,本科,,116.1730881,39.71134629
26,首都体育学院,北京市,北京市,本科,,116.1059768,40.07800824
27,北京外国语大学,教育部,北京市,本科,,116.3003527,39.95386235
28,北京第二外国语学院,北京市,北京市,本科,,116.5577214,39.91169598
29,北京语言大学,教育部,北京市,本科,,116.3401158,39.99361552
30,中国传媒大学,教育部,北京市,本科,,116.5522992,39.91226184
31,中央财经大学,教育部,北京市,本科,,116.2758747,40.17020444
32,对外经济贸易大学,教育部,北京市,本科,,116.421605,39.97905285
33,北京物资学院,北京市,北京市,本科,,116.3521657,39.86892352
34,首都经济贸易大学,北京市,北京市,本科,,116.3109173,39.84043813
35,外交学院,外交部,北京市,本科,,116.2747202,40.15262472
36,中国人民公安大学,公安部,北京市,本科,,116.3597778,39.76432736
37,国际关系学院,教育部,北京市,本科,,116.2802883,40.00256451
38,北京体育大学,国家体育总局,北京市,本科,,116.312974,40.02243802
39,中央音乐学院,教育部,北京市,本科,,116.3998866,39.91162679
40,中国音乐学院,北京市,北京市,本科,,116.3728933,39.99022657
41,中央美术学院,教育部,北京市,本科,,116.4197308,39.99050387
42,中央戏剧学院,教育部,北京市,本科,,116.3696024,40.10309119
43,中国戏曲学院,北京市,北京市,本科,,116.3265478,39.86249675
44,北京电影学院,北京市,北京市,本科,,116.366272,40.11111363
45,北京舞蹈学院,北京市,北京市,本科,,116.313114,39.94573761
46,中央民族大学,国家民委,北京市,本科,,116.3144497,39.94951256
47,中国政法大学,教育部,北京市,本科,,116.2418422,40.22323666
48,华北电力大学,教育部,北京市,本科,,116.3102646,40.08940519
49,中华女子学院,中华妇女联合会,北京市,本科,,116.2350996,40.19484947
50,北京信息科技大学,北京市,北京市,本科,,116.4831586,39.96365883
51,中国矿业大学（北京）,教育部,北京市,本科,,116.25563,40.15146776
52,中国石油大学（北京）,教育部,北京市,本科,,116.2489306,40.21478256
53,中国地质大学（北京）,教育部,北京市,本科,,116.3454636,39.98878046
54,北京联合大学,北京市,北京市,本科,,116.4209451,39.98924776
55,北京城市学院,北京市教委,北京市,本科,民办,116.340626,39.98625842
56,中国青年政治学院,共青团中央,北京市,本科,,116.3015286,39.94948621
57,首钢工学院,北京市,北京市,本科,,116.1961913,39.92501242
58,中国劳动关系学院,中华全国总工会,北京市,本科,,115.9080322,39.46917916
59,北京吉利学院,北京市教委,北京市,本科,民办,116.1556445,40.17937766

